"統計期","一般廢棄物產生量[公噸]","一般廢棄物處理量/總計[公噸]","一般廢棄物處理量/一般垃圾清運量/合計[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/焚化[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/焚化巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/衛生掩埋[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/衛生掩埋巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/其他[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位自行清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位自行清運巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位委託清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/公私處所自行或委託清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/公私處所自行或委託清運巨大垃圾[公噸]","一般廢棄物處理量/資源回收量/合計[公噸]","一般廢棄物處理量/資源回收量/環保單位[公噸]","一般廢棄物處理量/資源回收量/社區學校機關[公噸]","一般廢棄物處理量/巨大垃圾回收再利用量[公噸]","一般廢棄物處理量/廚餘回收再利用量/合計[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/堆肥[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/養豬[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/其他[公噸]","一般廢棄物處理量/廚餘回收再利用量/回收管道/環保單位[公噸]","一般廢棄物處理量/廚餘回收再利用量/回收管道/社區學校機關[公噸]","每人一般廢棄物產生量[公斤]","每日一般垃圾清運量[公噸]","一般廢棄物妥善處理率[%]","資源回收率[%]","垃圾清理車輛機具數[輛]","垃圾處理廠[場]回饋設施使用人次/游泳池[人次]","垃圾處理廠[場]回饋設施使用人次/健身房[人次]","清潔隊員人數[人]","清運工員人數[人]","清運人員數[人]"
"103年",840555,840555,274166,274166,0,0,0,0,267898,0,0,6268,0,473933,28520,445414,14632,77824,60358,17466,0,65721,12103,312,751,100.00,56.38,2685,0,0,2243,4340,6060
"104年",857431,857431,282756,282756,0,0,0,0,273830,0,0,8926,0,484977,31143,453834,15076,74622,58420,16202,0,63632,10990,317,775,100.00,56.56,2689,509457,115995,2354,4412,6114
"105年",783268,783268,244574,244574,0,0,0,0,244574,0,0,0,0,456832,35911,420921,13649,68213,56096,12117,0,60825,7388,290,668,100.00,58.32,2495,600714,126551,2231,4292,6125
"106年",755026,755026,205932,205932,0,0,0,0,205932,0,0,0,0,468299,38085,430213,14031,66764,57581,9183,0,62052,4712,281,564,100.00,62.02,2636,646960,132455,2180,4118,5925
"107年",750275,750275,210570,210570,0,0,0,0,172876,0,0,37694,0,459035,40840,418195,11831,68839,61121,7718,0,65309,3530,280,577,100.00,61.18,2529,598185,107082,2213,4125,5947
"108年",797948,797948,246461,246461,0,0,0,0,192678,0,0,53783,0,478901,43510,435390,10737,61849,56402,5447,0,59986,1863,300,675,100.00,60.02,2536,585687,103770,2191,4073,6009
"109年",781781,781781,225475,225475,0,0,0,0,189259,0,0,36217,0,495277,59349,435929,13622,61028,57049,3979,0,60104,925,298,616,100.00,63.35,2515,546463,72925,2180,4185,6132
"110年",759391,759391,208452,208452,0,0,0,0,182805,0,0,25647,0,493402,62207,431196,11943,57537,54759,2778,0,57032,504,296,571,100.00,64.97,2636,285158,127050,2134,4109,6080
"111年",768277,768277,208756,208756,0,0,0,0,128518,0,0,80238,0,508105,61520,446585,11984,51415,48660,2755,0,50631,784,307,572,100.00,66.14,2536,393719,55194,2163,4118,6097
"112年",989727,989727,294274,294274,0,0,0,0,233087,0,0,61187,0,647708,61647,586061,11552,47745,44870,2875,0,46777,968,396,806,100.00,65.44,2512,516082,67202,2141,4021,6084
"113年",1080074,1080074,319343,319343,0,0,0,0,255916,0,0,63427,0,715651,65607,650044,12297,45080,42484,2596,0,44193,887,432,873,100.00,66.26,1085,575795,85976,2152,3931,6058
"114年",1040208,1040208,290733,290733,0,0,0,0,226795,0,0,63938,0,707562,65935,641627,10485,41913,40057,1856,0,41172,740,422,797,100.00,68.02,978,551036,190227,2120,4015,6020

